関数名,サンプル数 (子を含む),サンプル数 (関数のみ),サンプル % (子を含む),サンプル % (関数のみ),ソース ファイル,関数行番号,モジュール名,モジュール パス,関数アドレス,レベル,プロセス名,プロセス ID,
"_mainCRTStartup",3071,0,99.90,0.00,"f:\dd\vctools\crt_bld\self_x86\crt\src\crtexe.c",361,"mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe",0x013D0860,0,"mic.exe",4144,
"__tmainCRTStartup",2955,0,96.13,0.00,"f:\dd\vctools\crt_bld\self_x86\crt\src\crtexe.c",378,"mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe",0x013D0880,1,"mic.exe",4144,
"_main",2955,0,96.13,0.00,"",0,"mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe",0x013D1F30,2,"mic.exe",4144,
"_SDL_main",2955,0,96.13,0.00,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\main.cpp",23,"mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe",0x013CBC10,3,"mic.exe",4144,
"aqua::FFTViewer::render(int,int,int,int)",2947,529,95.87,17.21,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\fftviewer.h",42,"mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe",0x013CC2A0,4,"mic.exe",4144,
"aqua::FFTAnalyzer::getPowerSpectrum(int)",1285,1285,41.80,41.80,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\fftanalyzer.hpp",81,"mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe",0x013CC3F0,5,"mic.exe",4144,
"aqua::FFTAnalyzer::getFreqSize(void)",766,766,24.92,24.92,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\fftanalyzer.hpp",89,"mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe",0x013CC460,5,"mic.exe",4144,
"[ig7icd32.dll]",339,294,11.03,9.56,"<不明>",0,"ig7icd32.dll","C:\Windows\system32\ig7icd32.dll",0x0F650000,5,"mic.exe",4144,
"[ig7icd32.dll]",45,39,1.46,1.27,"<不明>",0,"ig7icd32.dll","C:\Windows\system32\ig7icd32.dll",0x0F650000,6,"mic.exe",4144,
"[ig7icd32.dll]",6,1,0.20,0.03,"<不明>",0,"ig7icd32.dll","C:\Windows\system32\ig7icd32.dll",0x0F650000,7,"mic.exe",4144,
"[ig7icd32.dll]",5,0,0.16,0.00,"<不明>",0,"ig7icd32.dll","C:\Windows\system32\ig7icd32.dll",0x0F650000,8,"mic.exe",4144,
"[ig7icd32.dll]",5,2,0.16,0.07,"<不明>",0,"ig7icd32.dll","C:\Windows\system32\ig7icd32.dll",0x0F650000,9,"mic.exe",4144,
"[ig7icd32.dll]",3,0,0.10,0.00,"<不明>",0,"ig7icd32.dll","C:\Windows\system32\ig7icd32.dll",0x0F650000,10,"mic.exe",4144,
"[ig7icd32.dll]",3,2,0.10,0.07,"<不明>",0,"ig7icd32.dll","C:\Windows\system32\ig7icd32.dll",0x0F650000,11,"mic.exe",4144,
"[ig7icd32.dll]",1,1,0.03,0.03,"<不明>",0,"ig7icd32.dll","C:\Windows\system32\ig7icd32.dll",0x0F650000,12,"mic.exe",4144,
"_glVertex2f@8",19,19,0.62,0.62,"",0,"OPENGL32.dll","C:\Windows\system32\OPENGL32.dll",0x6C9D1CA0,5,"mic.exe",4144,
"_glColor4f@16",9,9,0.29,0.29,"",0,"OPENGL32.dll","C:\Windows\system32\OPENGL32.dll",0x6C9D197C,5,"mic.exe",4144,
"_SDL_GL_SwapBuffers",3,0,0.10,0.00,"c:\users\takana\desktop\sdl-1.2.15\src\video\sdl_video.c",1532,"SDL.dll","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\SDL.dll",0x6D27AF30,4,"mic.exe",4144,
"_WIN_GL_SwapBuffers",3,0,0.10,0.00,"c:\users\takana\desktop\sdl-1.2.15\src\video\wincommon\sdl_wingl.c",572,"SDL.dll","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\SDL.dll",0x6D27F620,5,"mic.exe",4144,
