種類,関数名,サンプル数 (子を含む),サンプル数 (関数のみ),サンプル % (子を含む),サンプル % (関数のみ),ソース ファイル,関数行番号,モジュール名,モジュール パス,関数アドレス,ルート関数名,プロセス名,プロセス ID,
"Root","@RtlpAllocateHeap@24",1,1,0.03,0.03,"",0,"ntdll.dll","C:\Windows\SysWOW64\ntdll.dll",0x77A738FD,"@RtlpAllocateHeap@24","mic.exe",4144,
"Caller","_RtlAllocateHeap@12",1,1,0.03,0.03,"",0,"ntdll.dll","C:\Windows\SysWOW64\ntdll.dll",0x77A6E046,"@RtlpAllocateHeap@24","mic.exe",4144,
"Root","@RtlpLowFragHeapAllocFromContext@8",5,3,0.16,0.10,"",0,"ntdll.dll","C:\Windows\SysWOW64\ntdll.dll",0x77A6E269,"@RtlpLowFragHeapAllocFromContext@8","mic.exe",4144,
"Caller","_RtlAllocateHeap@12",4,3,0.13,0.10,"",0,"ntdll.dll","C:\Windows\SysWOW64\ntdll.dll",0x77A6E046,"@RtlpLowFragHeapAllocFromContext@8","mic.exe",4144,
"Caller","_RtlFreeHeap@12",1,0,0.03,0.00,"",0,"ntdll.dll","C:\Windows\SysWOW64\ntdll.dll",0x77A6DFA5,"@RtlpLowFragHeapAllocFromContext@8","mic.exe",4144,
"Callee","[libfftw3f-3.dll]",1,0,0.03,0.00,"<不明>",0,"libfftw3f-3.dll","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\libfftw3f-3.dll",0x63740000,"@RtlpLowFragHeapAllocFromContext@8","mic.exe",4144,
"Callee","__SEH_prolog4",1,1,0.03,0.03,"",0,"ntdll.dll","C:\Windows\SysWOW64\ntdll.dll",0x77A6DEC4,"@RtlpLowFragHeapAllocFromContext@8","mic.exe",4144,
"Root","@RtlpLowFragHeapFree@8",2,2,0.07,0.07,"",0,"ntdll.dll","C:\Windows\SysWOW64\ntdll.dll",0x77A6E392,"@RtlpLowFragHeapFree@8","mic.exe",4144,
"Caller","_RtlFreeHeap@12",2,2,0.07,0.07,"",0,"ntdll.dll","C:\Windows\SysWOW64\ntdll.dll",0x77A6DFA5,"@RtlpLowFragHeapFree@8","mic.exe",4144,
"Root","[ig7icd32.dll]",365,361,11.87,11.74,"<不明>",0,"ig7icd32.dll","C:\Windows\system32\ig7icd32.dll",0x0F650000,"[ig7icd32.dll]","mic.exe",4144,
"Caller","[ig7icd32.dll]",69,65,2.24,2.11,"<不明>",0,"ig7icd32.dll","C:\Windows\system32\ig7icd32.dll",0x0F650000,"[ig7icd32.dll]","mic.exe",4144,
"Caller","_CreateAnyContext@4",1,0,0.03,0.00,"",0,"OPENGL32.dll","C:\Windows\system32\OPENGL32.dll",0x6CA0B5B7,"[ig7icd32.dll]","mic.exe",4144,
"Caller","_wglCbPresentBuffers@8",1,0,0.03,0.00,"",0,"OPENGL32.dll","C:\Windows\system32\OPENGL32.dll",0x6CA0C3E9,"[ig7icd32.dll]","mic.exe",4144,
