関数名,サンプル数 (子を含む),サンプル数 (関数のみ),サンプル % (子を含む),サンプル % (関数のみ),ソース ファイル,関数行番号,関数アドレス,モジュール名,モジュール パス,プロセス名,プロセス ID,
"@RtlpAllocateHeap@24",1,1,0.03,0.03,"",0,0x77A738FD,"ntdll.dll","C:\Windows\SysWOW64\ntdll.dll","mic.exe",4144,
"@RtlpLowFragHeapAllocFromContext@8",5,3,0.16,0.10,"",0,0x77A6E269,"ntdll.dll","C:\Windows\SysWOW64\ntdll.dll","mic.exe",4144,
"@RtlpLowFragHeapFree@8",2,2,0.07,0.07,"",0,0x77A6E392,"ntdll.dll","C:\Windows\SysWOW64\ntdll.dll","mic.exe",4144,
"[ig7icd32.dll]",365,361,11.87,11.74,"<不明>",0,0x0F650000,"ig7icd32.dll","C:\Windows\system32\ig7icd32.dll","mic.exe",4144,
"[imjp14.ime]",1,0,0.03,0.00,"<不明>",0,0x6B3F0000,"imjp14.ime","C:\Windows\system32\imjp14.ime","mic.exe",4144,
"[libfftw3f-3.dll]",85,82,2.77,2.67,"<不明>",0,0x63740000,"libfftw3f-3.dll","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\libfftw3f-3.dll","mic.exe",4144,
"[portaudio_x86.dll]",4,1,0.13,0.03,"<不明>",0,0x6F260000,"portaudio_x86.dll","D:\PATH\portaudio_x86.dll","mic.exe",4144,
"[snxhk.dll]",3,1,0.10,0.03,"<不明>",0,0x70B80000,"snxhk.dll","C:\Program Files\AVAST Software\Avast\snxhk.dll","mic.exe",4144,
"___DrvSwapBuffers@8",1,0,0.03,0.00,"",0,0x6CA0C768,"OPENGL32.dll","C:\Windows\system32\OPENGL32.dll","mic.exe",4144,
"___fnDWORD@4",2,0,0.07,0.00,"",0,0x76FF6E19,"USER32.dll","C:\Windows\syswow64\USER32.dll","mic.exe",4144,
"__DevObjOpenDeviceInterface@16",1,0,0.03,0.00,"",0,0x77134D10,"DEVOBJ.dll","C:\Windows\syswow64\DEVOBJ.dll","mic.exe",4144,
"__endthreadex",3,0,0.10,0.00,"",0,0x71F8C51C,"MSVCR100.dll","C:\Windows\system32\MSVCR100.dll","mic.exe",4144,
"__SEH_prolog4",1,1,0.03,0.03,"",0,0x77A6DEC4,"ntdll.dll","C:\Windows\SysWOW64\ntdll.dll","mic.exe",4144,
"__tmainCRTStartup",2955,0,96.13,0.00,"f:\dd\vctools\crt_bld\self_x86\crt\src\crtexe.c",378,0x013D0880,"mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,
"_ApphelpCheckExe@16",1,0,0.03,0.00,"",0,0x734A5D8D,"apphelp.dll","C:\Windows\system32\apphelp.dll","mic.exe",4144,
"_ApphelpCheckIME@4",1,0,0.03,0.00,"",0,0x734B66F4,"apphelp.dll","C:\Windows\system32\apphelp.dll","mic.exe",4144,
"_ApphelpCheckModule@24",1,0,0.03,0.00,"",0,0x7349A7ED,"apphelp.dll","C:\Windows\system32\apphelp.dll","mic.exe",4144,
"_ApphelpQueryExe@24",1,0,0.03,0.00,"",0,0x7349DFBD,"apphelp.dll","C:\Windows\system32\apphelp.dll","mic.exe",4144,
"_BaseGetProcessDllPath@12",1,0,0.03,0.00,"",0,0x7622C223,"KERNELBASE.dll","C:\Windows\syswow64\KERNELBASE.dll","mic.exe",4144,
"_BasepGetCachedPath@28",1,0,0.03,0.00,"",0,0x7622C02D,"KERNELBASE.dll","C:\Windows\syswow64\KERNELBASE.dll","mic.exe",4144,
"_CallWindowProcAorW@24",2,0,0.07,0.00,"",0,0x77000CC9,"USER32.dll","C:\Windows\syswow64\USER32.dll","mic.exe",4144,
"_CallWindowProcW@20",2,0,0.07,0.00,"",0,0x77000D32,"USER32.dll","C:\Windows\syswow64\USER32.dll","mic.exe",4144,
"_CheckAndApplyAppCompat@4",1,0,0.03,0.00,"",0,0x76E3890E,"IMM32.DLL","C:\Windows\system32\IMM32.DLL","mic.exe",4144,
"_CM_Locate_DevNode_ExW@16",1,0,0.03,0.00,"",0,0x76A76971,"CFGMGR32.dll","C:\Windows\syswow64\CFGMGR32.dll","mic.exe",4144,
"_CreateAnyContext@4",1,0,0.03,0.00,"",0,0x6CA0B5B7,"OPENGL32.dll","C:\Windows\system32\OPENGL32.dll","mic.exe",4144,
"_CtfLoadThreadLayout@4",1,0,0.03,0.00,"",0,0x76FFB550,"USER32.dll","C:\Windows\syswow64\USER32.dll","mic.exe",4144,
"_DefWindowProcA@16",2,0,0.07,0.00,"",0,0x76FFCFF8,"USER32.dll","C:\Windows\syswow64\USER32.dll","mic.exe",4144,
"_DevObjGetDeviceInterfaceAlias@16",1,0,0.03,0.00,"",0,0x77133F8C,"DEVOBJ.dll","C:\Windows\syswow64\DEVOBJ.dll","mic.exe",4144,
"_DevObjOpenDeviceInterface@16",1,0,0.03,0.00,"",0,0x77134C9C,"DEVOBJ.dll","C:\Windows\syswow64\DEVOBJ.dll","mic.exe",4144,
"_DIB_HandleMessage",2,0,0.07,0.00,"c:\users\takana\desktop\sdl-1.2.15\src\video\windib\sdl_dibevents.c",133,0x6D24D820,"SDL.dll","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\SDL.dll","mic.exe",4144,
"_DIB_PumpEvents",1,0,0.03,0.00,"c:\users\takana\desktop\sdl-1.2.15\src\video\windib\sdl_dibevents.c",361,0x6D24DD40,"SDL.dll","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\SDL.dll","mic.exe",4144,
"_DIB_SetVideoMode",1,0,0.03,0.00,"c:\users\takana\desktop\sdl-1.2.15\src\video\windib\sdl_dibvideo.c",585,0x6D24F970,"SDL.dll","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\SDL.dll","mic.exe",4144,
