名前,カテゴリ,値,
"カーネル ETL ファイル","ETW","",
"アプリケーション ETL ファイル","ETW","",
"ETL ファイル署名","ETW","00000000-0000-0000-0000-000000000000",
"DHP 発生","コレクション","False",
"未サポート CLR","コレクション","False",
"有効期間","コレクション","False",
"終了した UMS アプリケーション","コレクション","False",
"正常終了","コレクション","True",
"JScript","コレクション","False",
"TIP","コレクション","False",
"マネージ","コレクション","False",
"Is Resource Contention","コレクション","False",
"Is Concurrency","コレクション","False",
"サンプリング","コレクション","True",
"Visualizer","コレクション","False",
"64 ビット","コレクション","False",
"割り当て","コレクション","False",
"インストルメンテーション","コレクション","False",
"CPU アーキテクチャ","コンピューター情報","Intel",
"CPU ファミリ","コンピューター情報","6",
"CPU モデル","コンピューター情報","10",
"コンピューター名","コンピューター情報","TAWAKE",
"CPU 数","コンピューター情報","4",
"CPU の種類","コンピューター情報","Intel",
"オペレーティング システムのマイナー バージョン","コンピューター情報","1",
"オペレーティング システムのビルド番号","コンピューター情報","7601",
"クロック周波数","コンピューター情報","2494",
"CPU ステップ","コンピューター情報","9",
"オペレーティング システムのメジャー バージョン","コンピューター情報","6",
"サンプル (中止)","サンプリング","0",
"サンプル (別のアプリケーション)","サンプリング","344",
"サンプル (合計)","サンプリング","4061",
"サンプリング間隔","サンプリング","10000000",
"パフォーマンス カウンター サンプリング","サンプリング","False",
"サンプル (カーネル)","サンプリング","574",
"サンプル (オーバーヘッド)","サンプリング","69",
"サンプル (アプリケーション)","サンプリング","3074",
"サンプル (コールバック)","サンプリング","3074",
"コールバック (スタック ウォーク)","サンプリング","3074",
"サンプル (破損)","サンプリング","116",
"サイクル サンプリング","サンプリング","True",
"SysCall サンプリング","サンプリング","False",
"PageFault サンプリング","サンプリング","False",
"スレッド数","スレッド","0",
"スレッドの合計","スレッド","9",
"スレッド ハイウォーター","スレッド","9",
"最大スレッド数","スレッド","512",
"マイナー製品バージョン","バージョン情報","0",
"バージョン文字列","バージョン情報","10.0.40219 x86",
"ビルド番号","バージョン情報","40219",
"メジャー ファイル バージョン","バージョン情報","43",
"マイナー ファイル バージョン","バージョン情報","1",
"メジャー製品バージョン","バージョン情報","10",
"カウンター 0","パフォーマンス カウンター","TimeStamp Counter",
"最大プロセス","プロセス","64",
"プロセス数","プロセス","0",
"プロセス ハイウォーター","プロセス","1",
"プロセスの合計","プロセス","1",
"I/O バッファー","全般","514",
"作成日時","全般","2013/04/13 14:56:23",
"バッファー サイズ","全般","65536",
