関数名,サンプル数 (関数のみ),サンプル % (関数のみ),命令ポインター アドレス,ソース開始行,ソース開始文字番号,ソース終了行,ソース終了文字番号,関数アドレス,関数行番号,ソース ファイル,モジュール名,モジュール パス,プロセス名,プロセス ID,
"@RtlpAllocateHeap@24",1,0.03,0x77A73A88,0,0,0,0,0x77A738FD,0,"","ntdll.dll","C:\Windows\SysWOW64\ntdll.dll","mic.exe",4144,
"@RtlpLowFragHeapAllocFromContext@8",2,0.07,0x77A6E33B,0,0,0,0,0x77A6E269,0,"","ntdll.dll","C:\Windows\SysWOW64\ntdll.dll","mic.exe",4144,
"@RtlpLowFragHeapAllocFromContext@8",1,0.03,0x77A76EC9,0,0,0,0,0x77A6E269,0,"","ntdll.dll","C:\Windows\SysWOW64\ntdll.dll","mic.exe",4144,
"@RtlpLowFragHeapFree@8",2,0.07,0x77A6E42A,0,0,0,0,0x77A6E392,0,"","ntdll.dll","C:\Windows\SysWOW64\ntdll.dll","mic.exe",4144,
"[ig7icd32.dll]",3,0.10,0x0F680F2B,0,0,0,0,0x0F650000,0,"<不明>","ig7icd32.dll","C:\Windows\system32\ig7icd32.dll","mic.exe",4144,
"[ig7icd32.dll]",9,0.29,0x0F6F5C5D,0,0,0,0,0x0F650000,0,"<不明>","ig7icd32.dll","C:\Windows\system32\ig7icd32.dll","mic.exe",4144,
"[ig7icd32.dll]",9,0.29,0x0F6F5C63,0,0,0,0,0x0F650000,0,"<不明>","ig7icd32.dll","C:\Windows\system32\ig7icd32.dll","mic.exe",4144,
"[ig7icd32.dll]",13,0.42,0x0F6F5C77,0,0,0,0,0x0F650000,0,"<不明>","ig7icd32.dll","C:\Windows\system32\ig7icd32.dll","mic.exe",4144,
"[ig7icd32.dll]",6,0.20,0x0F6F5C86,0,0,0,0,0x0F650000,0,"<不明>","ig7icd32.dll","C:\Windows\system32\ig7icd32.dll","mic.exe",4144,
"[ig7icd32.dll]",13,0.42,0x0F6F5C99,0,0,0,0,0x0F650000,0,"<不明>","ig7icd32.dll","C:\Windows\system32\ig7icd32.dll","mic.exe",4144,
"[ig7icd32.dll]",15,0.49,0x0F6F5CB8,0,0,0,0,0x0F650000,0,"<不明>","ig7icd32.dll","C:\Windows\system32\ig7icd32.dll","mic.exe",4144,
"[ig7icd32.dll]",2,0.07,0x0F6F5CC1,0,0,0,0,0x0F650000,0,"<不明>","ig7icd32.dll","C:\Windows\system32\ig7icd32.dll","mic.exe",4144,
"[ig7icd32.dll]",10,0.33,0x0F6F5CC3,0,0,0,0,0x0F650000,0,"<不明>","ig7icd32.dll","C:\Windows\system32\ig7icd32.dll","mic.exe",4144,
"[ig7icd32.dll]",83,2.70,0x0F6F5CCA,0,0,0,0,0x0F650000,0,"<不明>","ig7icd32.dll","C:\Windows\system32\ig7icd32.dll","mic.exe",4144,
"[ig7icd32.dll]",12,0.39,0x0F6F5CD2,0,0,0,0,0x0F650000,0,"<不明>","ig7icd32.dll","C:\Windows\system32\ig7icd32.dll","mic.exe",4144,
"[ig7icd32.dll]",15,0.49,0x0F6F5CDA,0,0,0,0,0x0F650000,0,"<不明>","ig7icd32.dll","C:\Windows\system32\ig7icd32.dll","mic.exe",4144,
