関数名,サンプル数 (関数のみ),サンプル % (関数のみ),サンプル数 (子を含む),サンプル % (子を含む),ソース開始行,ソース開始文字番号,ソース終了行,ソース終了文字番号,関数アドレス,関数行番号,ソース ファイル,モジュール名,モジュール パス,プロセス名,プロセス ID,ソース/行番号,
"@RtlpAllocateHeap@24",1,0.03,1,0.03,0,0,0,0,0x77A738FD,0,"","ntdll.dll","C:\Windows\SysWOW64\ntdll.dll","mic.exe",4144,";[0,0]->[0,0]",
"@RtlpLowFragHeapAllocFromContext@8",3,0.10,5,0.16,0,0,0,0,0x77A6E269,0,"","ntdll.dll","C:\Windows\SysWOW64\ntdll.dll","mic.exe",4144,";[0,0]->[0,0]",
"@RtlpLowFragHeapFree@8",2,0.07,2,0.07,0,0,0,0,0x77A6E392,0,"","ntdll.dll","C:\Windows\SysWOW64\ntdll.dll","mic.exe",4144,";[0,0]->[0,0]",
"[ig7icd32.dll]",360,11.71,365,11.87,0,0,0,0,0x0F650000,0,"<不明>","ig7icd32.dll","C:\Windows\system32\ig7icd32.dll","mic.exe",4144,"<不明>;[0,0]->[0,0]",
"[imjp14.ime]",0,0.00,1,0.03,0,0,0,0,0x6B3F0000,0,"<不明>","imjp14.ime","C:\Windows\system32\imjp14.ime","mic.exe",4144,"<不明>;[0,0]->[0,0]",
"[libfftw3f-3.dll]",81,2.64,85,2.77,0,0,0,0,0x63740000,0,"<不明>","libfftw3f-3.dll","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\libfftw3f-3.dll","mic.exe",4144,"<不明>;[0,0]->[0,0]",
"[portaudio_x86.dll]",1,0.03,4,0.13,0,0,0,0,0x6F260000,0,"<不明>","portaudio_x86.dll","D:\PATH\portaudio_x86.dll","mic.exe",4144,"<不明>;[0,0]->[0,0]",
"[snxhk.dll]",1,0.03,3,0.10,0,0,0,0,0x70B80000,0,"<不明>","snxhk.dll","C:\Program Files\AVAST Software\Avast\snxhk.dll","mic.exe",4144,"<不明>;[0,0]->[0,0]",
"___DrvSwapBuffers@8",0,0.00,1,0.03,0,0,0,0,0x6CA0C768,0,"","OPENGL32.dll","C:\Windows\system32\OPENGL32.dll","mic.exe",4144,";[0,0]->[0,0]",
"___fnDWORD@4",0,0.00,2,0.07,0,0,0,0,0x76FF6E19,0,"","USER32.dll","C:\Windows\syswow64\USER32.dll","mic.exe",4144,";[0,0]->[0,0]",
"__DevObjOpenDeviceInterface@16",0,0.00,1,0.03,0,0,0,0,0x77134D10,0,"","DEVOBJ.dll","C:\Windows\syswow64\DEVOBJ.dll","mic.exe",4144,";[0,0]->[0,0]",
"__endthreadex",0,0.00,3,0.10,0,0,0,0,0x71F8C51C,0,"","MSVCR100.dll","C:\Windows\system32\MSVCR100.dll","mic.exe",4144,";[0,0]->[0,0]",
"__SEH_prolog4",1,0.03,1,0.03,0,0,0,0,0x77A6DEC4,0,"","ntdll.dll","C:\Windows\SysWOW64\ntdll.dll","mic.exe",4144,";[0,0]->[0,0]",
"__tmainCRTStartup",0,0.00,2955,96.13,555,0,555,0,0x013D0880,378,"f:\dd\vctools\crt_bld\self_x86\crt\src\crtexe.c","mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,"f:\dd\vctools\crt_bld\self_x86\crt\src\crtexe.c;[555,0]->[555,0]",
"_ApphelpCheckExe@16",0,0.00,1,0.03,0,0,0,0,0x734A5D8D,0,"","apphelp.dll","C:\Windows\system32\apphelp.dll","mic.exe",4144,";[0,0]->[0,0]",
"_ApphelpCheckIME@4",0,0.00,1,0.03,0,0,0,0,0x734B66F4,0,"","apphelp.dll","C:\Windows\system32\apphelp.dll","mic.exe",4144,";[0,0]->[0,0]",
"_ApphelpCheckModule@24",0,0.00,1,0.03,0,0,0,0,0x7349A7ED,0,"","apphelp.dll","C:\Windows\system32\apphelp.dll","mic.exe",4144,";[0,0]->[0,0]",
"_ApphelpQueryExe@24",0,0.00,1,0.03,0,0,0,0,0x7349DFBD,0,"","apphelp.dll","C:\Windows\system32\apphelp.dll","mic.exe",4144,";[0,0]->[0,0]",
"_BaseGetProcessDllPath@12",0,0.00,1,0.03,0,0,0,0,0x7622C223,0,"","KERNELBASE.dll","C:\Windows\syswow64\KERNELBASE.dll","mic.exe",4144,";[0,0]->[0,0]",
"_BasepGetCachedPath@28",0,0.00,1,0.03,0,0,0,0,0x7622C02D,0,"","KERNELBASE.dll","C:\Windows\syswow64\KERNELBASE.dll","mic.exe",4144,";[0,0]->[0,0]",
"_CallWindowProcAorW@24",0,0.00,2,0.07,0,0,0,0,0x77000CC9,0,"","USER32.dll","C:\Windows\syswow64\USER32.dll","mic.exe",4144,";[0,0]->[0,0]",
"_CallWindowProcW@20",0,0.00,2,0.07,0,0,0,0,0x77000D32,0,"","USER32.dll","C:\Windows\syswow64\USER32.dll","mic.exe",4144,";[0,0]->[0,0]",
"_CheckAndApplyAppCompat@4",0,0.00,1,0.03,0,0,0,0,0x76E3890E,0,"","IMM32.DLL","C:\Windows\system32\IMM32.DLL","mic.exe",4144,";[0,0]->[0,0]",
"_CM_Locate_DevNode_ExW@16",0,0.00,1,0.03,0,0,0,0,0x76A76971,0,"","CFGMGR32.dll","C:\Windows\syswow64\CFGMGR32.dll","mic.exe",4144,";[0,0]->[0,0]",
